,0
gr_liv_area,20059.07335088011
overall_qual,12548.987372763335
year_built,6894.36032103128
bsmtfin_sf_1,6560.839407993909
neighborhood_StoneBr,6545.970839818756
neighborhood_NridgHt,6283.013662645784
exter_qual_Ex,6273.901459402995
total_bsmt_sf,5588.353452928246
kitchen_qual_Ex,5441.9624402676845
neighborhood_NoRidge,4898.819070601123
lot_area,4785.219015187166
bsmt_qual_Ex,4440.707250957508
bsmt_exposure_Gd,4315.730737784616
overall_cond,4257.407365399008
bldg_type_1Fam,4112.223529396071
neighborhood_GrnHill,3274.819688227718
screen_porch,3262.6850171632664
fireplaces,3250.3172759208787
garage_yr_blt_2009.0,3154.1792543689776
garage_area,3021.404319030515
full_bath,2656.332332987854
neighborhood_Crawfor,2339.1311355290527
roof_matl_WdShngl,2335.77834925774
heating_qc_Ex,2144.6861609321736
neighborhood_Somerst,2144.0707604556146
sale_type_New,2045.9423764410399
bsmt_full_bath,1933.5764443659234
year_remod/add,1920.6287916033414
exterior_1st_BrkFace,1885.5644321828963
mas_vnr_area,1844.6846492178413
land_contour_HLS,1525.711960610183
garage_cars,1483.8649971339507
garage_qual_Gd,1362.5088893822224
functional_Typ,1317.5129556625616
condition_1_PosN,1265.561447927146
condition_1_Norm,1144.2779697896344
garage_yr_blt_2006.0,1107.3141075667004
foundation_PConc,1063.9268760943337
bsmt_exposure_Av,1050.154245731255
bsmtfin_type_1_GLQ,1005.8148020397101
garage_finish_Fin,885.5560753915175
totrms_abvgrd,870.5424594181374
roof_style_Hip,815.4787380796109
garage_yr_blt_1993.0,787.4662230298085
wood_deck_sf,740.0483745142238
half_bath,732.9437189786643
bsmtfin_type_2_GLQ,688.9085788572398
lot_shape_IR2,647.2063590146747
bsmtfin_type_2_ALQ,576.9355804344539
paved_drive_Y,422.85685252343376
exterior_1st_VinylSd,333.4307241590103
house_style_2.5Fin,323.29025487982517
garage_yr_blt_2001.0,282.12234106458646
mas_vnr_type_Stone,253.60429020468007
garage_yr_blt_1958.0,232.65111391533813
garage_qual_Ex,187.2862680918154
garage_type_BuiltIn,127.12716050216756
garage_yr_blt_1939.0,104.33072586268449
land_slope_Mod,102.20087770134526
condition_2_PosA,91.30128775211317
lot_config_CulDSac,88.77501374093964
neighborhood_BrkSide,64.26260431233067
garage_yr_blt_1927.0,56.67820609073963
garage_yr_blt_2002.0,43.90137559112345
sale_type_Con,27.114079593630507
garage_yr_blt_1986.0,15.842566448918351
street_Pave,1.6225131961942147e-13
garage_yr_blt_1922.0,0.0
garage_yr_blt_1921.0,0.0
garage_yr_blt_1941.0,-0.0
garage_yr_blt_1930.0,-0.0
garage_yr_blt_1916.0,-0.0
garage_yr_blt_1920.0,-0.0
garage_yr_blt_1919.0,0.0
garage_yr_blt_1918.0,-0.0
garage_yr_blt_1942.0,-0.0
garage_yr_blt_1932.0,0.0
garage_yr_blt_1923.0,0.0
garage_yr_blt_1935.0,-0.0
garage_yr_blt_1933.0,0.0
garage_yr_blt_1940.0,0.0
garage_yr_blt_1936.0,0.0
garage_yr_blt_1937.0,0.0
garage_yr_blt_1924.0,-0.0
garage_yr_blt_1925.0,-0.0
garage_yr_blt_1938.0,-0.0
garage_yr_blt_1934.0,-0.0
garage_yr_blt_1931.0,0.0
garage_yr_blt_1929.0,-0.0
garage_yr_blt_1926.0,-0.0
id,-0.0
garage_yr_blt_1915.0,-0.0
heating_Wall,-0.0
central_air_Y,-0.0
central_air_N,0.0
heating_qc_TA,-0.0
heating_qc_Po,-0.0
heating_qc_Gd,0.0
heating_qc_Fa,-0.0
heating_GasW,0.0
electrical_FuseF,-0.0
heating_GasA,0.0
bsmtfin_type_2_no_basement,0.0
bsmtfin_type_2_Unf,-0.0
bsmtfin_type_2_Rec,-0.0
bsmtfin_type_2_LwQ,0.0
bsmtfin_type_2_BLQ,-0.0
electrical_FuseA,-0.0
electrical_FuseP,0.0
garage_yr_blt_1914.0,0.0
garage_type_Attchd,0.0
garage_yr_blt_1910.0,-0.0
garage_yr_blt_1900.0,-0.0
garage_yr_blt_1895.0,0.0
garage_type_no_garage,0.0
garage_type_Detchd,-0.0
garage_type_CarPort,-0.0
functional_Mod,-0.0
electrical_Mix,-0.0
functional_Min2,-0.0
functional_Min1,0.0
functional_Maj2,-0.0
kitchen_qual_Gd,0.0
garage_yr_blt_1945.0,-0.0
electrical_SBrkr,0.0
kitchen_qual_Fa,-0.0
garage_yr_blt_1966.0,-0.0
garage_yr_blt_1946.0,0.0
